Index,Smiles1,Smiles2,molar1,molar2,DES melting temperature,Smiles,,groups
0,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.1,0.9,525.7,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
1,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.102,0.898,525.6,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
2,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.202,0.798,478.8,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
3,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.203,0.797,478.9,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
4,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.301,0.699,425.5,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
5,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.302,0.698,427.6,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
6,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.399,0.601,377.5,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
7,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.4,0.6,377,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
8,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.499,0.501,337.1,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
9,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.503,0.497,337.1,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
10,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.599,0.401,303.5,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
11,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.6,0.4,303.4,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
12,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.699,0.301,322.5,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
13,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.701,0.299,321.5,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
14,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.798,0.202,333.4,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
15,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.8,0.2,334.3,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
16,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.897,0.103,344.1,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
17,CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.9,0.1,343.5,CCn1cc[n+](C)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,0
18,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.101,0.899,517.4,C[n+]1ccn(CCO)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,1
19,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.201,0.799,473.6,C[n+]1ccn(CCO)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,1
20,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.203,0.797,473.9,C[n+]1ccn(CCO)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,1
21,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.301,0.699,403.2,C[n+]1ccn(CCO)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,1
22,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.4,0.6,351.7,C[n+]1ccn(CCO)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,1
23,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.499,0.501,323.5,C[n+]1ccn(CCO)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,1
24,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.501,0.499,323.5,C[n+]1ccn(CCO)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,1
25,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.6,0.4,333.7,C[n+]1ccn(CCO)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,1
26,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.602,0.398,333.5,C[n+]1ccn(CCO)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,1
27,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.698,0.302,340.5,C[n+]1ccn(CCO)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,1
28,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.699,0.301,340.9,C[n+]1ccn(CCO)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,1
29,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.799,0.201,345.5,C[n+]1ccn(CCO)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,1
30,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.8,0.2,346.1,C[n+]1ccn(CCO)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,1
31,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.898,0.102,352.6,C[n+]1ccn(CCO)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,1
32,C[n+]1ccn(CCO)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.9,0.1,352.8,C[n+]1ccn(CCO)c1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,1
33,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.055,0.945,560.7,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
34,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.09,0.91,546.4,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
35,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.133,0.867,528.9,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
36,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.195,0.805,493.5,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
37,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.2,0.8,493.5,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
38,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.283,0.717,456.6,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
39,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.285,0.715,456.7,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
40,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.374,0.626,419.9,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
41,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.378,0.622,419.6,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
42,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.463,0.537,430,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
43,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.477,0.523,429.4,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
44,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.569,0.431,437.3,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
45,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.572,0.428,437.8,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
46,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.677,0.323,445.9,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
47,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.685,0.315,445.5,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
48,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.788,0.212,458.6,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
49,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.789,0.211,458.6,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
50,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.878,0.122,463.3,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
51,CCCC[N+]1(C)CCCC1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.88,0.12,463.4,CCCC[N+]1(C)CCCC1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,2
52,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.102,0.898,543.6,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
53,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.152,0.848,523.7,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
54,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.199,0.801,503.1,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
55,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.23,0.77,483.6,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
56,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.301,0.699,463.6,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
57,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.349,0.651,443.1,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
58,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.402,0.598,418.9,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
59,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.45,0.55,403.4,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
60,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.502,0.498,386.6,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
61,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.551,0.449,373.9,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
62,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.601,0.399,363.32,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
63,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.649,0.351,368.52,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
64,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.697,0.303,375.15,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
65,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.749,0.251,384.48,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
66,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.798,0.202,387.58,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
67,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.85,0.15,393.78,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
68,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.899,0.101,397.98,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
69,CCCC[n+]1ccccc1.[Cl-],C[N+](C)(C)CCO.[Cl-],0.95,0.05,403.55,CCCC[n+]1ccccc1.[Cl-].C[N+](C)(C)CCO.[Cl-],.,3
70,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.06,0.94,557.2,CC(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO.[Cl-],.,4
71,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.098,0.902,535.6,CC(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO.[Cl-],.,4
72,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.1,0.9,535.5,CC(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO.[Cl-],.,4
73,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.159,0.841,498.7,CC(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO.[Cl-],.,4
74,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.215,0.785,471.4,CC(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO.[Cl-],.,4
75,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.246,0.754,459.4,CC(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO.[Cl-],.,4
76,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.332,0.668,416.7,CC(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO.[Cl-],.,4
77,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.333,0.667,415.5,CC(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO.[Cl-],.,4
78,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.399,0.601,383.6,CC(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO.[Cl-],.,4
79,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.4,0.6,382.9,CC(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO.[Cl-],.,4
80,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.499,0.501,340.8,CC(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO.[Cl-],.,4
81,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.592,0.408,313.6,CC(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO.[Cl-],.,4
82,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.594,0.406,313.3,CC(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO.[Cl-],.,4
83,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.698,0.302,323.6,CC(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO.[Cl-],.,4
84,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.802,0.198,338.9,CC(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO.[Cl-],.,4
85,CC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO.[Cl-],0.881,0.119,353.5,CC(=O)[O-].C[N+](C)(C)CCO.C[N+](C)(C)CCO.[Cl-],.,4
86,CC(=O)[O-].C[N+](C)(C)CCO,NC(N)=O,0.333333333,0.666666667,291.15,CC(=O)[O-].C[N+](C)(C)CCO.NC(N)=O,.,5
87,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.101,0.899,553.1,COCC[N+](C)(C)C.[Cl-].C[N+](C)(C)CCO.[Cl-],.,6
88,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.2,0.8,523,COCC[N+](C)(C)C.[Cl-].C[N+](C)(C)CCO.[Cl-],.,6
89,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.303,0.697,491.2,COCC[N+](C)(C)C.[Cl-].C[N+](C)(C)CCO.[Cl-],.,6
90,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.401,0.599,453.7,COCC[N+](C)(C)C.[Cl-].C[N+](C)(C)CCO.[Cl-],.,6
91,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.502,0.498,411.7,COCC[N+](C)(C)C.[Cl-].C[N+](C)(C)CCO.[Cl-],.,6
92,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.601,0.399,416.4,COCC[N+](C)(C)C.[Cl-].C[N+](C)(C)CCO.[Cl-],.,6
93,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.699,0.301,417.7,COCC[N+](C)(C)C.[Cl-].C[N+](C)(C)CCO.[Cl-],.,6
94,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.852,0.148,433.3,COCC[N+](C)(C)C.[Cl-].C[N+](C)(C)CCO.[Cl-],.,6
95,COCC[N+](C)(C)C.[Cl-],C[N+](C)(C)CCO.[Cl-],0.894,0.106,433.1,COCC[N+](C)(C)C.[Cl-].C[N+](C)(C)CCO.[Cl-],.,6
96,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.1,0.9,597.88,C[N+](C)(C)C.[Cl-].[Cl-].[NH4+],.,7
97,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.201,0.799,573.78,C[N+](C)(C)C.[Cl-].[Cl-].[NH4+],.,7
98,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.301,0.699,527.35,C[N+](C)(C)C.[Cl-].[Cl-].[NH4+],.,7
99,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.4,0.6,497.82,C[N+](C)(C)C.[Cl-].[Cl-].[NH4+],.,7
100,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.499,0.501,518.9,C[N+](C)(C)C.[Cl-].[Cl-].[NH4+],.,7
101,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.6,0.4,540.6,C[N+](C)(C)C.[Cl-].[Cl-].[NH4+],.,7
102,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.7,0.3,552.2,C[N+](C)(C)C.[Cl-].[Cl-].[NH4+],.,7
103,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.801,0.199,565.6,C[N+](C)(C)C.[Cl-].[Cl-].[NH4+],.,7
104,C[N+](C)(C)C.[Cl-],[Cl-].[NH4+],0.9,0.1,593.8,C[N+](C)(C)C.[Cl-].[Cl-].[NH4+],.,7
