Type,index,HBA,Smiles1,CAS_HBA,molar1,HBD,Smiles2,CAS_HBD,molar2,Set,T/K,Viscosity,Log viscosity,Smiles,,group,HBA Count1,HBD Count1,HBA Count2,HBD Count2,,Normal_T
I,1,Zinc chloride,Cl[Zn]Cl,7646-85-7,0.667,Choline chloride,C[N+](C)(C)CCO.[Cl-],67-48-1,0.333,training,298.15,85000,11.35,Cl[Zn]Cl.C[N+](C)(C)CCO.[Cl-],.,181,0,0,1,1,318.7718753,-1.014488028
II,2,Chromic chloride hexahydrate,O.O.O.O.O.O.Cl[Cr](Cl)Cl,10060-12-5,0.5,Choline chloride,C[N+](C)(C)CCO.[Cl-],67-48-1,0.5,training,293.15,13085.4,9.48,O.O.O.O.O.O.Cl[Cr](Cl)Cl.C[N+](C)(C)CCO.[Cl-],.,183,0,0,1,1,20.32737175,-1.260461785
II,3,Chromic chloride hexahydrate,O.O.O.O.O.O.Cl[Cr](Cl)Cl,10060-12-5,0.5,Choline chloride,C[N+](C)(C)CCO.[Cl-],67-48-1,0.5,training,315.15,2475.7,7.81,O.O.O.O.O.O.Cl[Cr](Cl)Cl.C[N+](C)(C)CCO.[Cl-],.,183,0,0,1,1,,-0.178177254
II,4,Chromic chloride hexahydrate,O.O.O.O.O.O.Cl[Cr](Cl)Cl,10060-12-5,0.5,Choline chloride,C[N+](C)(C)CCO.[Cl-],67-48-1,0.5,training,326.15,1195.3,7.09,O.O.O.O.O.O.Cl[Cr](Cl)Cl.C[N+](C)(C)CCO.[Cl-],.,183,0,0,1,1,,0.362965011
II,5,Chromic chloride hexahydrate,O.O.O.O.O.O.Cl[Cr](Cl)Cl,10060-12-5,0.5,Choline chloride,C[N+](C)(C)CCO.[Cl-],67-48-1,0.5,training,347.65,422.9,6.05,O.O.O.O.O.O.Cl[Cr](Cl)Cl.C[N+](C)(C)CCO.[Cl-],.,183,0,0,1,1,,1.420652167
II,6,Chromic chloride hexahydrate,O.O.O.O.O.O.Cl[Cr](Cl)Cl,10060-12-5,0.6,Choline chloride,C[N+](C)(C)CCO.[Cl-],67-48-1,0.4,training,293.15,7516.3,8.92,O.O.O.O.O.O.Cl[Cr](Cl)Cl.C[N+](C)(C)CCO.[Cl-],.,183,0,0,1,1,,-1.260461785
II,7,Chromic chloride hexahydrate,O.O.O.O.O.O.Cl[Cr](Cl)Cl,10060-12-5,0.6,Choline chloride,C[N+](C)(C)CCO.[Cl-],67-48-1,0.4,training,315.15,1418.8,7.26,O.O.O.O.O.O.Cl[Cr](Cl)Cl.C[N+](C)(C)CCO.[Cl-],.,183,0,0,1,1,,-0.178177254
II,8,Chromic chloride hexahydrate,O.O.O.O.O.O.Cl[Cr](Cl)Cl,10060-12-5,0.6,Choline chloride,C[N+](C)(C)CCO.[Cl-],67-48-1,0.4,training,326.15,727.8,6.59,O.O.O.O.O.O.Cl[Cr](Cl)Cl.C[N+](C)(C)CCO.[Cl-],.,183,0,0,1,1,,0.362965011
II,9,Chromic chloride hexahydrate,O.O.O.O.O.O.Cl[Cr](Cl)Cl,10060-12-5,0.6,Choline chloride,C[N+](C)(C)CCO.[Cl-],67-48-1,0.4,training,336.65,463.6,6.14,O.O.O.O.O.O.Cl[Cr](Cl)Cl.C[N+](C)(C)CCO.[Cl-],.,183,0,0,1,1,,0.879509901
II,10,Chromic chloride hexahydrate,O.O.O.O.O.O.Cl[Cr](Cl)Cl,10060-12-5,0.6,Choline chloride,C[N+](C)(C)CCO.[Cl-],67-48-1,0.4,training,347.65,260.3,5.56,O.O.O.O.O.O.Cl[Cr](Cl)Cl.C[N+](C)(C)CCO.[Cl-],.,183,0,0,1,1,,1.420652167
II,11,Chromic chloride hexahydrate,O.O.O.O.O.O.Cl[Cr](Cl)Cl,10060-12-5,0.667,Choline chloride,C[N+](C)(C)CCO.[Cl-],67-48-1,0.333,training,293.15,4670.8,8.45,O.O.O.O.O.O.Cl[Cr](Cl)Cl.C[N+](C)(C)CCO.[Cl-],.,183,0,0,1,1,,-1.260461785
II,12,Chromic chloride hexahydrate,O.O.O.O.O.O.Cl[Cr](Cl)Cl,10060-12-5,0.667,Choline chloride,C[N+](C)(C)CCO.[Cl-],67-48-1,0.333,training,315.15,992,6.9,O.O.O.O.O.O.Cl[Cr](Cl)Cl.C[N+](C)(C)CCO.[Cl-],.,183,0,0,1,1,,-0.178177254
II,13,Chromic chloride hexahydrate,O.O.O.O.O.O.Cl[Cr](Cl)Cl,10060-12-5,0.667,Choline chloride,C[N+](C)(C)CCO.[Cl-],67-48-1,0.333,training,326.15,605.8,6.41,O.O.O.O.O.O.Cl[Cr](Cl)Cl.C[N+](C)(C)CCO.[Cl-],.,183,0,0,1,1,,0.362965011
II,14,Chromic chloride hexahydrate,O.O.O.O.O.O.Cl[Cr](Cl)Cl,10060-12-5,0.71,Choline chloride,C[N+](C)(C)CCO.[Cl-],67-48-1,0.29,training,293.15,4122.1,8.32,O.O.O.O.O.O.Cl[Cr](Cl)Cl.C[N+](C)(C)CCO.[Cl-],.,183,0,0,1,1,,-1.260461785
II,15,Chromic chloride hexahydrate,O.O.O.O.O.O.Cl[Cr](Cl)Cl,10060-12-5,0.71,Choline chloride,C[N+](C)(C)CCO.[Cl-],67-48-1,0.29,training,315.15,788.8,6.67,O.O.O.O.O.O.Cl[Cr](Cl)Cl.C[N+](C)(C)CCO.[Cl-],.,183,0,0,1,1,,-0.178177254
II,16,Chromic chloride hexahydrate,O.O.O.O.O.O.Cl[Cr](Cl)Cl,10060-12-5,0.71,Choline chloride,C[N+](C)(C)CCO.[Cl-],67-48-1,0.29,training,326.15,402.6,6,O.O.O.O.O.O.Cl[Cr](Cl)Cl.C[N+](C)(C)CCO.[Cl-],.,183,0,0,1,1,,0.362965011
